# 浏览器,
Typora,winget install --id appmakes.Typora -e --silent --accept-package-agreements --accept-source-agreements
Obsidian,winget install --id Obsidian.Obsidian -e --silent --accept-package-agreements --accept-source-agreements
uTools,winget install --id Yuanli.uTools -e --silent --accept-package-agreements --accept-source-agreements
TeamViewer,winget install --id TeamViewer.TeamViewer -e --silent --accept-package-agreements --accept-source-agreements
LibreOffice,winget install --id TheDocumentFoundation.LibreOffice -e --silent --accept-package-agreements --accept-source-agreements
OBS录屏,winget install --id OBSProject.OBSStudio -e --silent --accept-package-agreements --accept-source-agreements
测试命令,cmd /c echo MCP-CSV-EXEC-OK
Google Chrome,winget install --id Google.Chrome -e --silent --accept-package-agreements --accept-source-agreements
Mozilla Firefox,winget install --id Mozilla.Firefox -e --silent --accept-package-agreements --accept-source-agreements
Microsoft Edge,winget install --id Microsoft.Edge -e --silent --accept-package-agreements --accept-source-agreements
Opera 浏览器,winget install --id Opera.Opera -e --silent --accept-package-agreements --accept-source-agreements
Brave 浏览器,winget install --id Brave.Brave -e --silent --accept-package-agreements --accept-source-agreements
Arc 浏览器,winget install --id Microsoft.Arc -e --silent --accept-package-agreements --accept-source-agreements
LibreOffice 办公套件,winget install --id TheDocumentFoundation.LibreOffice -e --silent --accept-package-agreements --accept-source-agreements
ONLYOFFICE 编辑器,winget install --id ONLYOFFICE.DesktopEditors -e --silent --accept-package-agreements --accept-source-agreements
WPS Office,winget install --id Kingsoft.WPSOffice -e --silent --accept-package-agreements --accept-source-agreements
Adobe Acrobat Reader,winget install --id Adobe.Acrobat.Reader.64-bit -e --silent --accept-package-agreements --accept-source-agreements
金山PDF独立版,winget install --id Kingsoft.KingsoftPDF -e --silent --accept-package-agreements --accept-source-agreements
SumatraPDF 轻量阅读器,winget install --id SumatraPDF.SumatraPDF -e --silent --accept-package-agreements --accept-source-agreements
Okular 文档阅读器,winget install --id KDE.Okular -e --silent --accept-package-agreements --accept-source-agreements
Notion 笔记,winget install --id Notion.Notion -e --silent --accept-package-agreements --accept-source-agreements
Obsidian 笔记,winget install --id Obsidian.Obsidian -e --silent --accept-package-agreements --accept-source-agreements
NoteGen 笔记,winget install --id codexu.NoteGen -e --silent --accept-package-agreements --accept-source-agreements
VS Code 编辑器,winget install --id Microsoft.VisualStudioCode -e --silent --accept-package-agreements --accept-source-agreements
Visual Studio 2022 社区版,winget install --id Microsoft.VisualStudio.2022.Community -e --silent --accept-package-agreements --accept-source-agreements
